"
        【东北冰雪-休闲】11-2月 哈尔滨-威虎寨-二浪河林场-东北雪乡之夜-镜泊湖-长白山北坡-雾凇岛风光-吉林  休闲纯玩七日（最经典的东北冰雪之旅，过年般的温馨体验，每批都确定成行）-游侠客旅游网    ",编号：HZ-25026,30.45万,2354,7天6晚,3290,黑龙江省 哈尔滨
"
        【东北冰雪-豪华万达度假】12-2月 冰城哈尔滨-东北雪乡-镜泊湖-魔界-长白山万达度假村-国际级滑雪乐园-恒温水乐园-东北虎林园 豪华度假7日游（全新升级住宿，特别赠送接机服务，专享舒适豪华的度假之旅）-游侠客旅游网    ",编号：HZ-25027,10.62万,985,7天6晚,3980,黑龙江省 哈尔滨
"
        【东北冰雪-亲子】12-2月 哈尔滨-大雪谷-东北雪乡-镜泊湖-长白山森林营地-农夫山泉保水基地，亲临朝鲜族民俗村寻古问今，欣赏球幕电影陨石雨，7日雪国童话奇遇记（2019全新升级王牌亲子线路）-游侠客旅游网    ",编号：HZ-25028,2.23万,854,7天6晚,3280,黑龙江省 哈尔滨
"
        【天鹅泉冬摄+赛湖蓝冰】12-2月新疆：伊犁天鹅泉（天鹅、雾凇、晨雾、霞光）-红山大峡谷-“蓝色水晶”赛里木湖（蓝冰、冰泡、冰眼）-独山子大峡谷-乌苏准噶尔胡杨林，7日冬季摄影-游侠客旅游网    ",编号：HZ-21825,3.59万,264,7天6晚,3780,新疆 乌鲁木齐
"
        【怒江大峡谷·银杏樱花摄影】11-12月 大理古城-无量山冬樱花-腾冲银杏-和顺古镇-怒江大峡谷-丙中洛田园，探访纹面女，云南秋色10日摄影游（所有批次确定成行，半价加购大理City Walk）-游侠客旅游网    ",编号：HZ-19028,8.62万,306,10天9晚,3980,大理
"
        【东北冰雪-摄影】2018-2019 冰城哈尔滨-东北虎林园-东北雪乡梦幻家园-长白山北坡-魔界日出-吊水楼瀑布-吉林雾凇岛 七日东北摄影团（含雪乡梦幻家园拍摄、魔界日出拍摄、雾凇岛海东青人像）-游侠客旅游网    ",编号：HZ-21800,11.44万,576,7天6晚,3550,黑龙江省 哈尔滨
"
        【冬游西藏·梦幻蓝冰】12月-2月：圣城拉萨-布达拉宫-大昭寺-羊卓雍措-普莫雍措-40冰川-卡久寺，7日梦幻之旅-游侠客旅游网    ",编号：HZ-25646,2.11万,385,7天6晚,2780,西藏 拉萨
"
        【丝绸之路·高铁专线】西北淡季特惠，兰州-张掖七彩丹霞-嘉峪关-敦煌莫高窟-鸣沙山月牙泉-阳关，6天5晚，一起沿着丝绸之路精华景点深度游！-游侠客旅游网    ",编号：HZ-25672,2.35万,275,6天5晚,1999,甘肃省 兰州
"
        【怒江大峡谷全景】9-4月 云南大理-丙中洛-秋那桶-雾里村-老姆登-知子罗，参与一次怒江公益，寻找与世隔绝的纹面女，天境怒江8日边疆行（全程商务车，4人成行，半价加购大理City Walk）-游侠客旅游网    ",编号：HZ-12883,9.49万,933,8天7晚,4550,大理
"
        【滇黔精华】2018全年 普者黑-坝美-碧色寨-蒙自-马岭河大峡谷-万峰林-建水古城-抚仙湖，8日云南经典环线（半价加购昆明City Walk）-游侠客旅游网    ",编号：HZ-19755,23.1万,2623,8天7晚,3180,云南省 昆明
